University,"DBpedia URI",timeshighereducation,topuniversities,shanghairanking,leidenranking,urapcenter,shanghairanking
"Stockholm School of Economics",http://dbpedia.org/resource/Stockholm_School_of_Economics,,,401-500,,,
" Stockholm University ",http://dbpedia.org/resource/Stockholm_University,103,"170 ",82,141,186,
" Stony Brook University ",http://dbpedia.org/resource/Stony_Brook_University,178,"338 ",,,175,339
"Sungkyunkwan University",http://dbpedia.org/resource/Sungkyunkwan_University,201-225,"162 ",201-300,367,143,349
"Sun Yat-sen University",http://dbpedia.org/resource/Sun_Yat-sen_University,351-400,"384 ",201-300,299,132,
"Swansea University ",http://dbpedia.org/resource/Swansea_University,,"431-440 ",,,,
"Swinburne University of Technology",http://dbpedia.org/resource/Swinburne_University_of_Technology,351-400,"481-490 ",301-400,,,
"Syracuse University",http://dbpedia.org/resource/Syracuse_University,,"601-650 ",301-400,,,225
"Tampere University of Technology  ",http://dbpedia.org/resource/Tampere_University_of_Technology,,"431-440 ",,,,
" Technical University of Denmark ",http://dbpedia.org/resource/Technical_University_of_Denmark,117,"134 ",151-200,45,202,117
"Technical University of Lisbon",http://dbpedia.org/resource/Technical_University_of_Lisbon,,,401-500,368,436,
"Technical University of Madrid",http://dbpedia.org/resource/Technical_University_of_Madrid,,,,434,,
"Technion-Israel Institute of Technology",http://dbpedia.org/resource/Technion_–_Israel_Institute_of_Technology,201-225,"183 ",77,344,224,335
" Tel Aviv University ",http://dbpedia.org/resource/Tel_Aviv_University,199,"196 ",101-150,359,97,203
"Temple University",http://dbpedia.org/resource/Temple_University,351-400,"551-600 ",301-400,313,394,310
"Texas Tech University",http://dbpedia.org/resource/Texas_Tech_University,,,401-500,392,431,417
"Thammasat University ",http://dbpedia.org/resource/Thammasat_University,,"601-650 ",,,,
"College of William &amp; Mary ",http://dbpedia.org/resource/The_College_of_William_&_Mary,,"501-550 ",,,,352
"University of Western Ontario",http://dbpedia.org/resource/The_University_of_Western_Ontario,,,,329,158,211
"Thomas Jefferson University",http://dbpedia.org/resource/Thomas_Jefferson_University,,,201-300,197,325,
" Tilburg University ",http://dbpedia.org/resource/Tilburg_University,226-250,"373 ",,,,
" Tohoku University ",http://dbpedia.org/resource/Tohoku_University,150,"75 ",101-150,429,75,331
" Tokyo Institute of Technology ",http://dbpedia.org/resource/Tokyo_Institute_of_Technology,125,"66 ",101-150,358,160,381
" Tokyo Metropolitan University ",http://dbpedia.org/resource/Tokyo_Metropolitan_University,201-225,"501-550 ",,,,
"Tongji University",http://dbpedia.org/resource/Tongji_University,,"481-490 ",401-500,405,287,305
" Trinity College Dublin ","http://dbpedia.org/resource/Trinity_College,_Dublin",129,"61 ",201-300,48,,260
" Tsinghua University ",http://dbpedia.org/resource/Tsinghua_University,50,"48 ",151-200,158,64,
" Tufts University ",http://dbpedia.org/resource/Tufts_University,80,"204 ",101-150,57,185,126
"Tulane University",http://dbpedia.org/resource/Tulane_University,226-250,"387 ",301-400,214,412,257
"Umea University",http://dbpedia.org/resource/Umeå_University,,"289 ",201-300,323,264,296
"Universidad Iberoamericana (UIA) ",http://dbpedia.org/resource/Universidad_Iberoamericana,,"601-650 ",,,,
"Università Cattolica del Sacro Cuore",http://dbpedia.org/resource/Università_Cattolica_del_Sacro_Cuore,,,,447,,385
"Université Catholique de Louvain (UCL) ",http://dbpedia.org/resource/Université_catholique_de_Louvain,,"138 ",,151,188,407
" University of Montreal ",http://dbpedia.org/resource/Université_de_Montréal,106,"92 ",101-150,245,102,110
"University of Sherbrooke",http://dbpedia.org/resource/Université_de_Sherbrooke,,"441-450 ",401-500,,,496
"University of Quebec",http://dbpedia.org/resource/Université_du_Québec,,"411-420 ",401-500,,,283
" Laval University ",http://dbpedia.org/resource/Université_Laval,201-225,,,,226,134
"Universiti Putra Malaysia (UPM) ",http://dbpedia.org/resource/Universiti_Putra_Malaysia,,"411-420 ",,,479,
"Universiti Sains Malaysia (USM) ",http://dbpedia.org/resource/Universiti_Sains_Malaysia,,"355 ",,361,432,
"University at Albany SUNY ","http://dbpedia.org/resource/University_at_Albany,_SUNY",,"601-650 ",,,,
" University at Buffalo ","http://dbpedia.org/resource/University_at_Buffalo,_The_State_University_of_New_York",176,,,248,,
"University College Cork",http://dbpedia.org/resource/University_College_Cork,276-300,"210 ",301-400,181,447,471
" University College Dublin ",http://dbpedia.org/resource/University_College_Dublin,161,"139 ",301-400,281,,
" University College London (UCL) ",http://dbpedia.org/resource/University_College_London,21,"4 ",21,50,19,38
" University of Aberdeen ",http://dbpedia.org/resource/University_of_Aberdeen,188,"148 ",201-300,91,259,402
"The University of Adelaide",http://dbpedia.org/resource/University_of_Adelaide,201-225,"104 ",201-300,253,209,216
"The University of Alabama at Birmingham",http://dbpedia.org/resource/University_of_Alabama_at_Birmingham,,,201-300,172,122,420
"University of Alaska - Fairbanks",http://dbpedia.org/resource/University_of_Alaska_Fairbanks,276-300,,401-500,,,495
" University of Alberta ",http://dbpedia.org/resource/University_of_Alberta,109,"96 ",101-150,284,66,66
" University of Amsterdam ",http://dbpedia.org/resource/University_of_Amsterdam,83,"58 ",101-150,103,53,59
" University of Antwerp ",http://dbpedia.org/resource/University_of_Antwerp,164,"185 ",201-300,150,227,
" University of Arizona ",http://dbpedia.org/resource/University_of_Arizona,103,"212 ",78,137,77,44
"University of Arkansas at Fayetteville",http://dbpedia.org/resource/University_of_Arkansas,,,401-500,,,459
" University of Auckland ",http://dbpedia.org/resource/University_of_Auckland,164,"94 ",201-300,244,214,186
"University of Barcelona",http://dbpedia.org/resource/University_of_Barcelona,226-250,"178 ",201-300,259,94,131
" University of Bari Aldo Moro ",http://dbpedia.org/resource/University_of_Bari,351-400,,,421,360,
"University of Basel",http://dbpedia.org/resource/University_of_Basel,,"110 ",83,85,144,294
"University of Bath",http://dbpedia.org/resource/University_of_Bath,276-300,"187 ",301-400,190,413,407
"University of Belgrade",http://dbpedia.org/resource/University_of_Belgrade,,,301-400,484,237,
"University of Bergen",http://dbpedia.org/resource/University_of_Bergen,201-225,"151 ",201-300,331,212,142
" University of Bern ",http://dbpedia.org/resource/University_of_Bern,157,"154 ",151-200,177,119,215
" University of Birmingham ",http://dbpedia.org/resource/University_of_Birmingham,153,"62 ",101-150,270,109,
"University of Bologna",http://dbpedia.org/resource/University_of_Bologna,276-300,"188 ",201-300,335,105,
"University of Bonn",http://dbpedia.org/resource/University_of_Bonn,,"163 ",101-150,153,126,137
"University of Bordeaux",http://dbpedia.org/resource/University_of_Bordeaux,,"309 ",201-300,,,
"University of Bradford ",http://dbpedia.org/resource/University_of_Bradford,,"501-550 ",,,,
"University of Bremen",http://dbpedia.org/resource/University_of_Bremen,,"370 ",401-500,261,435,343
" University of Bristol ",http://dbpedia.org/resource/University_of_Bristol,79,"30 ",64,76,88,
" University of British Columbia ",http://dbpedia.org/resource/University_of_British_Columbia,31,"49 ",40,99,24,21
"University of Buenos Aires",http://dbpedia.org/resource/University_of_Buenos_Aires,,"209 ",151-200,477,260,325
"The University of Calgary",http://dbpedia.org/resource/University_of_Calgary,201-225,"201 ",201-300,292,127,105
" University of California, Berkeley ","http://dbpedia.org/resource/University_of_California,_Berkeley",8,"25 ",3,7,5,6
" University of California, Davis ","http://dbpedia.org/resource/University_of_California,_Davis",52,"85 ",47,82,32,50
" University of California, Irvine ","http://dbpedia.org/resource/University_of_California,_Irvine",93,"149 ",45,44,83,71
" University of California, Los Angeles (UCLA) ","http://dbpedia.org/resource/University_of_California,_Los_Angeles",12,"40 ",12,25,9,14
" University of California, Riverside ","http://dbpedia.org/resource/University_of_California,_Riverside",148,"268 ",101-150,35,222,144
" University of California, Santa Barbara ","http://dbpedia.org/resource/University_of_California,_Santa_Barbara",33,"130 ",35,2,110,87
" University of California, Santa Cruz ","http://dbpedia.org/resource/University_of_California,_Santa_Cruz",136,"307 ",101-150,11,197,130
" University of California, San Diego ","http://dbpedia.org/resource/University_of_California,_San_Diego",40,"63 ",14,15,12,31
"University of California, San Francisco","http://dbpedia.org/resource/University_of_California,_San_Francisco",,,18,9,15,72
"University of Canberra  ",http://dbpedia.org/resource/University_of_Canberra,,"601-650 ",,,,
"University of Canterbury",http://dbpedia.org/resource/University_of_Canterbury,301-350,"238 ",401-500,,494,
" University of Cape Town ",http://dbpedia.org/resource/University_of_Cape_Town,126,"145 ",201-300,217,231,350
"University of Central Florida",http://dbpedia.org/resource/University_of_Central_Florida,,,201-300,108,422,338
" University of Chicago ",http://dbpedia.org/resource/University_of_Chicago,9,"9 ",9,16,42,39
"University of Chile",http://dbpedia.org/resource/University_of_Chile,,"223 ",401-500,442,354,208
"University of Cincinnati",http://dbpedia.org/resource/University_of_Cincinnati,226-250,"461-470 ",201-300,134,163,248
"University of Coimbra",http://dbpedia.org/resource/University_of_Coimbra,,"358 ",401-500,426,345,277
"University of Koeln",http://dbpedia.org/resource/University_of_Cologne,,,151-200,225,,
" University of Colorado Boulder ",http://dbpedia.org/resource/University_of_Colorado,97,"160 ",,14,101,74
"University of Colorado at Boulder",http://dbpedia.org/resource/University_of_Colorado_at_Boulder,,,33,,,
"University of Colorado at Denver",http://dbpedia.org/resource/University_of_Colorado_Denver,,,201-300,104,269,478
"The University of Connecticut - Storrs",http://dbpedia.org/resource/University_of_Connecticut,301-350,"380 ",201-300,206,315,180
" University of Copenhagen ",http://dbpedia.org/resource/University_of_Copenhagen,150,"45 ",42,132,25,91
"Universidad de Costa Rica ",http://dbpedia.org/resource/University_of_Costa_Rica,,"461-470 ",,,,
"University of Duesseldorf",http://dbpedia.org/resource/University_of_Düsseldorf,,,201-300,,,241
" University of Delaware ",http://dbpedia.org/resource/University_of_Delaware,174,"451-460 ",151-200,129,313,152
"University of Delhi ",http://dbpedia.org/resource/University_of_Delhi,,"441-450 ",,,,
"University of Dublin Trinity College",http://dbpedia.org/resource/University_of_Dublin,,,,,282,
"University of Duisburg-Essen",http://dbpedia.org/resource/University_of_Duisburg-Essen,,"481-490 ",401-500,295,352,
" University of Dundee ",http://dbpedia.org/resource/University_of_Dundee,196,"219 ",201-300,79,319,464
" University of East Anglia ",http://dbpedia.org/resource/University_of_East_Anglia,174,"229 ",201-300,90,383,486
" University of Edinburgh ",http://dbpedia.org/resource/University_of_Edinburgh,39,"17 ",51,84,47,51
"University of Erlangen-Nuremberg",http://dbpedia.org/resource/University_of_Erlangen-Nuremberg,,,201-300,208,152,197
"University of Essex",http://dbpedia.org/resource/University_of_Essex,251-275,"338 ",401-500,,,
" University of Exeter ",http://dbpedia.org/resource/University_of_Exeter,148,"168 ",201-300,49,323,474
"University of Ferrara",http://dbpedia.org/resource/University_of_Ferrara,351-400,,401-500,351,438,
"University of Florence",http://dbpedia.org/resource/University_of_Florence,351-400,"379 ",201-300,343,182,346
" University of Florida ",http://dbpedia.org/resource/University_of_Florida,128,"179 ",71,228,37,26
"University of Freiburg",http://dbpedia.org/resource/University_of_Freiburg,,,100,122,,
" University of Fribourg ",http://dbpedia.org/resource/University_of_Fribourg,276-300,"102 ",,,168,467
"University of Goettingen",http://dbpedia.org/resource/University_of_Göttingen,,"128 ",101-150,234,,146
" University of Geneva ",http://dbpedia.org/resource/University_of_Geneva,124,"71 ",69,59,,
"University of Genova",http://dbpedia.org/resource/University_of_Genoa,,"451-460 ",301-400,439,291,489
"The University of Georgia",http://dbpedia.org/resource/University_of_Georgia,276-300,"411-420 ",101-150,194,190,61
"University of Giessen",http://dbpedia.org/resource/University_of_Giessen,,,301-400,,,
" University of Glasgow ",http://dbpedia.org/resource/University_of_Glasgow,117,"51 ",151-200,121,103,115
"University of Gothenburg",http://dbpedia.org/resource/University_of_Gothenburg,201-225,"205 ",151-200,242,179,163
"University of Granada",http://dbpedia.org/resource/University_of_Granada,,"501-550 ",301-400,375,250,181
"University of Graz",http://dbpedia.org/resource/University_of_Graz,,,401-500,,,
" University of Groningen ",http://dbpedia.org/resource/University_of_Groningen,98,"97 ",92,139,80,103
"Universidad de Guadalajara (UDG) ",http://dbpedia.org/resource/University_of_Guadalajara,,"601-650 ",,,,
"University of Guelph",http://dbpedia.org/resource/University_of_Guelph,351-400,"461-470 ",201-300,301,327,326
"University of Haifa",http://dbpedia.org/resource/University_of_Haifa,,,401-500,,,
"University of Halle-Wittenberg",http://dbpedia.org/resource/University_of_Halle-Wittenberg,,"601-650 ",301-400,384,,
"University of Hamburg",http://dbpedia.org/resource/University_of_Hamburg,,"186 ",151-200,196,242,86
"University of Hannover",http://dbpedia.org/resource/University_of_Hanover,,"451-460 ",401-500,296,,240
"University of Hawaii at Mañoa  ",http://dbpedia.org/resource/University_of_Hawaii,,"327 ",,165,,
" University of Helsinki ",http://dbpedia.org/resource/University_of_Helsinki,100,"69 ",76,275,59,45
" University of Hertfordshire ",http://dbpedia.org/resource/University_of_Hertfordshire,301-350,,,,,
" The University of Hong Kong ",http://dbpedia.org/resource/University_of_Hong_Kong,43,"26 ",201-300,180,155,79
"University of Houston",http://dbpedia.org/resource/University_of_Houston,301-350,"551-600 ",201-300,224,367,252
"University of Hull ",http://dbpedia.org/resource/University_of_Hull,,"501-550 ",,,,
" University of Iceland ",http://dbpedia.org/resource/University_of_Iceland,251-275,,,,493,499
"University of Idaho",http://dbpedia.org/resource/University_of_Idaho,,,401-500,,,
" University of Illinois at Chicago ",http://dbpedia.org/resource/University_of_Illinois_at_Chicago,191,"192 ",151-200,257,129,164
" University of Illinois at Urbana Champaign ",http://dbpedia.org/resource/University_of_Illinois_at_Urbana–Champaign,29,"56 ",25,67,,
"University of Indonesia ",http://dbpedia.org/resource/University_of_Indonesia,,"309 ",,,,
"University of Innsbruck",http://dbpedia.org/resource/University_of_Innsbruck,201-225,"289 ",201-300,,,281
" University of Iowa ",http://dbpedia.org/resource/University_of_Iowa,161,"236 ",101-150,191,123,78
"University of Jena",http://dbpedia.org/resource/University_of_Jena,,"363 ",401-500,260,245,298
"University of Johannesburg  ",http://dbpedia.org/resource/University_of_Johannesburg,,"601-650 ",,,,
"University of Jyvaskyla",http://dbpedia.org/resource/University_of_Jyväskylä,,"299 ",401-500,,,
"University of Kansas - Lawrence",http://dbpedia.org/resource/University_of_Kansas,276-300,"376 ",201-300,276,331,164
"University of Kent ",http://dbpedia.org/resource/University_of_Kent,,"411-420 ",,,,477
"University of Kentucky",http://dbpedia.org/resource/University_of_Kentucky,,"481-490 ",201-300,268,198,124
"University of Kiel",http://dbpedia.org/resource/University_of_Kiel,,"293 ",151-200,,255,
"University of Konstanz",http://dbpedia.org/resource/University_of_Konstanz,,"273 ",301-400,,,432
"University of KwaZulu-Natal",http://dbpedia.org/resource/University_of_KwaZulu-Natal,,"501-550 ",401-500,466,444,
"University of Lausanne",http://dbpedia.org/resource/University_of_Lausanne,,"111 ",201-300,68,221,252
" University of Leeds ",http://dbpedia.org/resource/University_of_Leeds,139,"97 ",151-200,148,138,176
" University of Leicester ",http://dbpedia.org/resource/University_of_Leicester,161,"202 ",201-300,239,232,377
"University of Leipzig",http://dbpedia.org/resource/University_of_Leipzig,,"311 ",201-300,342,243,168
"University of Liege",http://dbpedia.org/resource/University_of_Liège,,"240 ",201-300,288,,229
"University of Limerick ",http://dbpedia.org/resource/University_of_Limerick,,"501-550 ",,,,
"University of Lisbon",http://dbpedia.org/resource/University_of_Lisbon,,"551-600 ",301-400,420,362,
" University of Liverpool ",http://dbpedia.org/resource/University_of_Liverpool,169,"130 ",101-150,166,146,313
"University of Ljubljana",http://dbpedia.org/resource/University_of_Ljubljana,,"551-600 ",401-500,455,284,205
"University of Louisville",http://dbpedia.org/resource/University_of_Louisville,,,,264,363,386
"University of Muenster",http://dbpedia.org/resource/University_of_Münster,,,101-150,144,,
"University of Mainz",http://dbpedia.org/resource/University_of_Mainz,,,151-200,,,
"University of Malaya",http://dbpedia.org/resource/University_of_Malaya,,"167 ",401-500,464,,
" University of Manchester ",http://dbpedia.org/resource/University_of_Manchester,58,"33 ",41,193,40,158
"University of Manitoba",http://dbpedia.org/resource/University_of_Manitoba,301-350,"431-440 ",301-400,312,272,287
"Universität Mannheim ",http://dbpedia.org/resource/University_of_Mannheim,,"281 ",,,,
"University of Marburg",http://dbpedia.org/resource/University_of_Marburg,,"431-440 ",201-300,226,317,262
"University of Maryland, Baltimore","http://dbpedia.org/resource/University_of_Maryland,_Baltimore",,,151-200,149,134,
"University of Maryland, Baltimore County","http://dbpedia.org/resource/University_of_Maryland,_Baltimore_County",351-400,,401-500,,,434
" University of Maryland, College Park ","http://dbpedia.org/resource/University_of_Maryland,_College_Park",108,"116 ",38,51,,
" University of Massachusetts ",http://dbpedia.org/resource/University_of_Massachusetts,132,,,,,
"University of Massachusetts Amherst",http://dbpedia.org/resource/University_of_Massachusetts_Amherst,,"261 ",101-150,42,210,80
"University of Massachusetts Boston",http://dbpedia.org/resource/University_of_Massachusetts_Boston,,,,,468,
"University of Massachusetts Medical School - Worcester",http://dbpedia.org/resource/University_of_Massachusetts_Medical_School,,,101-150,20,,
"University of Medicine and Dentistry of New Jersey",http://dbpedia.org/resource/University_of_Medicine_and_Dentistry_of_New_Jersey,,,,235,,
" University of Melbourne ",http://dbpedia.org/resource/University_of_Melbourne,34,"31 ",54,100,33,82
" University of Miami ",http://dbpedia.org/resource/University_of_Miami,185,"232 ",151-200,187,120,109
" University of Michigan ",http://dbpedia.org/resource/University_of_Michigan,18,"22 ",23,40,8,5
"University of Milan",http://dbpedia.org/resource/University_of_Milan,276-300,,151-200,294,95,193
" University of Minnesota ",http://dbpedia.org/resource/University_of_Minnesota,46,"102 ",29,61,35,9
"University of Mississippi ",http://dbpedia.org/resource/University_of_Mississippi,,"317 ",,413,397,
"University of Missouri - Columbia",http://dbpedia.org/resource/University_of_Missouri,301-350,"421-430 ",201-300,233,248,121
"University of Montpellier 2",http://dbpedia.org/resource/University_of_Montpellier,,"471-480 ",201-300,229,262,
"University of Mumbai ",http://dbpedia.org/resource/University_of_Mumbai,,"601-650 ",,,,
"University of Naples Federico II",http://dbpedia.org/resource/University_of_Naples_Federico_II,,"397 ",301-400,428,107,312
"University of Nebraska - Lincoln",http://dbpedia.org/resource/University_of_Nebraska–Lincoln,251-275,"491-500 ",201-300,274,312,89
"University of Nebraska Medical Center",http://dbpedia.org/resource/University_of_Nebraska_Medical_Center,,,401-500,,446,
"University of Nevada las Vegas","http://dbpedia.org/resource/University_of_Nevada,_Las_Vegas",,,,,,410
"University of Nevada Reno","http://dbpedia.org/resource/University_of_Nevada,_Reno",,,,,,460
"University of New Hampshire - Durham",http://dbpedia.org/resource/University_of_New_Hampshire,,"551-600 ",401-500,,,362
"The University of New Mexico - Albuquerque",http://dbpedia.org/resource/University_of_New_Mexico,,"421-430 ",201-300,161,228,188
" University of New South Wales ",http://dbpedia.org/resource/University_of_New_South_Wales,114,"52 ",101-150,215,90,96
" University of North Carolina at Chapel Hill ",http://dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,47,"54 ",43,38,31,36
"University of North Texas",http://dbpedia.org/resource/University_of_North_Texas,,,,,,239
" University of Notre Dame ",http://dbpedia.org/resource/University_of_Notre_Dame,90,"224 ",201-300,120,308,189
" University of Nottingham ",http://dbpedia.org/resource/University_of_Nottingham,157,"75 ",83,128,117,119
"University of Oklahoma - Norman",http://dbpedia.org/resource/University_of_Oklahoma,351-400,"481-490 ",301-400,350,403,214
"University of Oregon",http://dbpedia.org/resource/University_of_Oregon,,"551-600 ",201-300,,443,150
" University of Oslo ",http://dbpedia.org/resource/University_of_Oslo,185,"89 ",69,279,89,73
"University of Otago",http://dbpedia.org/resource/University_of_Otago,226-250,"155 ",201-300,251,271,468
" University of Ottawa ",http://dbpedia.org/resource/University_of_Ottawa,185,"227 ",201-300,189,171,
"University of Oulu",http://dbpedia.org/resource/University_of_Oulu,,"253 ",301-400,378,346,413
"University of Oviedo",http://dbpedia.org/resource/University_of_Oviedo,,,,409,428,455
" University of Oxford ",http://dbpedia.org/resource/University_of_Oxford,2,"6 ",10,30,6,17
"University of Padua",http://dbpedia.org/resource/University_of_Padua,301-350,"267 ",151-200,347,92,201
"University of Palermo",http://dbpedia.org/resource/University_of_Palermo,,,401-500,458,433,
"University of Paris Sud (Paris 11)",http://dbpedia.org/resource/University_of_Paris,,,39,,,
"Université Paris 1 Panthéon-Sorbonne  ",http://dbpedia.org/resource/University_of_Paris_1_Pantheon-Sorbonne,,"225 ",,,,
"University of Parma",http://dbpedia.org/resource/University_of_Parma,,,,318,449,
"University of Patras ",http://dbpedia.org/resource/University_of_Patras,,"601-650 ",,401,,
"University of Pavia",http://dbpedia.org/resource/University_of_Pavia,251-275,,401-500,369,289,
" University of Pennsylvania ",http://dbpedia.org/resource/University_of_Pennsylvania,16,"13 ",15,18,13,10
"University of Perugia",http://dbpedia.org/resource/University_of_Perugia,,,301-400,360,320,
"University of Pisa",http://dbpedia.org/resource/University_of_Pisa,301-350,"259 ",101-150,381,193,
" University of Pittsburgh ",http://dbpedia.org/resource/University_of_Pittsburgh,78,"106 ",61,65,22,40
" Plymouth University ",http://dbpedia.org/resource/University_of_Plymouth,276-300,,,,,
"University of Porto",http://dbpedia.org/resource/University_of_Porto,351-400,"343 ",301-400,391,219,125
" University of Portsmouth ",http://dbpedia.org/resource/University_of_Portsmouth,351-400,,,,,
"Universitat Potsdam",http://dbpedia.org/resource/University_of_Potsdam,,,,,492,428
"University of Pretoria ",http://dbpedia.org/resource/University_of_Pretoria,,"471-480 ",,470,473,444
" University of Queensland Australia ",http://dbpedia.org/resource/University_of_Queensland,63,"43 ",85,118,52,98
" University of Reading ",http://dbpedia.org/resource/University_of_Reading,194,"213 ",301-400,115,420,444
"University of Regensburg",http://dbpedia.org/resource/University_of_Regensburg,,"401-410 ",301-400,157,307,265
"University of Rhode Island",http://dbpedia.org/resource/University_of_Rhode_Island,,,301-400,,,485
" University of Rochester ",http://dbpedia.org/resource/University_of_Rochester,95,"151 ",90,72,116,84
"University of Rostock",http://dbpedia.org/resource/University_of_Rostock,,,,379,421,
"University of Sao Paulo",http://dbpedia.org/resource/University_of_São_Paulo,,"127 ",101-150,471,29,29
"University of Salamanca ",http://dbpedia.org/resource/University_of_Salamanca,,"441-450 ",,,,249
"Paris Lodron University of Salzburg ",http://dbpedia.org/resource/University_of_Salzburg,,"601-650 ",,,,
"Universidade de Santiago de Compostela ",http://dbpedia.org/resource/University_of_Santiago_de_Compostela,,"501-550 ",,317,351,389
"University of Saskatchewan",http://dbpedia.org/resource/University_of_Saskatchewan,,"421-430 ",201-300,425,348,308
"University of Science and Technology of China",http://dbpedia.org/resource/University_of_Science_and_Technology_of_China,201-225,"174 ",201-300,89,136,224
"Universidad de Sevilla ",http://dbpedia.org/resource/University_of_Seville,,"551-600 ",,402,369,207
" University of Sheffield ",http://dbpedia.org/resource/University_of_Sheffield,112,"71 ",101-150,145,133,
"University of Siena ",http://dbpedia.org/resource/University_of_Siena,,"501-550 ",,448,375,
" University of Southampton ",http://dbpedia.org/resource/University_of_Southampton,146,"86 ",151-200,179,124,
" University of Southern California ",http://dbpedia.org/resource/University_of_Southern_California,70,"125 ",47,52,70,49
"University of Southern Denmark",http://dbpedia.org/resource/University_of_Southern_Denmark,276-300,"311 ",201-300,195,239,425
" University of South Australia ",http://dbpedia.org/resource/University_of_South_Australia,301-350,"341 ",,,,
"University of South Carolina - Columbia",http://dbpedia.org/resource/University_of_South_Carolina,251-275,"551-600 ",301-400,146,309,174
"University of South Florida at Tampa",http://dbpedia.org/resource/University_of_South_Florida,,,,230,,
" University of Stirling ",http://dbpedia.org/resource/University_of_Stirling,351-400,"501-550 ",,,,
"University of Strasbourg",http://dbpedia.org/resource/University_of_Strasbourg,201-225,"226 ",97,192,,
"University of Strathclyde ",http://dbpedia.org/resource/University_of_Strathclyde,,"257 ",,308,401,430
"University of Stuttgart",http://dbpedia.org/resource/University_of_Stuttgart,,"248 ",201-300,109,388,232
" University of St Andrews ",http://dbpedia.org/resource/University_of_St_Andrews,117,"83 ",201-300,47,305,381
"University of Surrey",http://dbpedia.org/resource/University_of_Surrey,351-400,"284 ",401-500,376,498,451
" University of Sussex ",http://dbpedia.org/resource/University_of_Sussex,121,"193 ",101-150,163,398,406
" University of Sydney ",http://dbpedia.org/resource/University_of_Sydney,72,"38 ",97,240,39,331
"University of Szeged",http://dbpedia.org/resource/University_of_Szeged,,"501-550 ",401-500,,,
"University of Tuebingen",http://dbpedia.org/resource/University_of_Tübingen,,,151-200,201,,
" University of Tampere ",http://dbpedia.org/resource/University_of_Tampere,301-350,"376 ",,,441,496
" University of Tartu ",http://dbpedia.org/resource/University_of_Tartu,351-400,"461-470 ",,,,376
"University of Tasmania",http://dbpedia.org/resource/University_of_Tasmania,351-400,"401-410 ",301-400,338,440,333
"University of Technology, Sydney","http://dbpedia.org/resource/University_of_Technology,_Sydney",301-350,"272 ",401-500,,,366
"University of Tehran",http://dbpedia.org/resource/University_of_Tehran,,"601-650 ",401-500,454,330,398
"University of Tennessee ",http://dbpedia.org/resource/University_of_Tennessee,,"390 ",,243,220,187
" University of Texas at Austin ",http://dbpedia.org/resource/University_of_Texas_at_Austin,27,"71 ",36,39,67,500
" The University of Texas at Dallas ",http://dbpedia.org/resource/University_of_Texas_at_Dallas,188,"366 ",301-400,,,
"The University of Texas Medical Branch at Galveston",http://dbpedia.org/resource/University_of_Texas_Medical_Branch,,,401-500,258,459,
"University of the Basque Country",http://dbpedia.org/resource/University_of_the_Basque_Country,,,401-500,411,,148
"University of the Witwatersrand",http://dbpedia.org/resource/University_of_the_Witwatersrand,226-250,"313 ",301-400,415,339,
" The University of Tokyo ",http://dbpedia.org/resource/University_of_Tokyo,23,"32 ",21,330,11,53
"Université Paul Sabatier Toulouse III ",http://dbpedia.org/resource/University_of_Toulouse,,"390 ",,,,
" University of Trento ",http://dbpedia.org/resource/University_of_Trento,201-225,"441-450 ",,,,
"(2) Universität Trier",http://dbpedia.org/resource/University_of_Trier,,,,,,489
" University of Trieste ",http://dbpedia.org/resource/University_of_Trieste,226-250,"501-550 ",,324,379,
"University of Tromso",http://dbpedia.org/resource/University_of_Tromsø,351-400,"306 ",401-500,,469,367
"University of Tsukuba",http://dbpedia.org/resource/University_of_Tsukuba,301-350,"210 ",151-200,463,223,301
"University of Turin",http://dbpedia.org/resource/University_of_Turin,226-250,"399 ",201-300,314,149,262
"University of Turku",http://dbpedia.org/resource/University_of_Turku,,"205 ",301-400,341,283,470
" University of Twente ",http://dbpedia.org/resource/University_of_Twente,170,"228 ",301-400,111,364,
"University of Ulm",http://dbpedia.org/resource/University_of_Ulm,201-225,"258 ",301-400,204,277,372
"University of Ulster ",http://dbpedia.org/resource/University_of_Ulster,,"601-650 ",,,,
" University of Utah ",http://dbpedia.org/resource/University_of_Utah,143,"271 ",85,92,96,55
"University of Valencia",http://dbpedia.org/resource/University_of_Valencia,351-400,"471-480 ",301-400,336,189,156
"University of Vermont",http://dbpedia.org/resource/University_of_Vermont,301-350,"501-550 ",301-400,319,416,272
"University of Victoria",http://dbpedia.org/resource/University_of_Victoria,201-225,"321 ",301-400,202,340,199
" University of Vienna ",http://dbpedia.org/resource/University_of_Vienna,170,"158 ",151-200,249,184,65
" University of Virginia ",http://dbpedia.org/resource/University_of_Virginia,112,"132 ",101-150,102,112,46
"University of Wuerzburg",http://dbpedia.org/resource/University_of_Würzburg,,,151-200,93,,316
" University of Waikato ",http://dbpedia.org/resource/University_of_Waikato,301-350,"401-410 ",,,,
"University of Warsaw",http://dbpedia.org/resource/University_of_Warsaw,301-350,"338 ",301-400,433,,335
" University of Warwick ",http://dbpedia.org/resource/University_of_Warwick,141,"64 ",151-200,87,215,190
" University of Washington ",http://dbpedia.org/resource/University_of_Washington,25,"59 ",16,27,7,7
